key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,40,39,down,0.01,db,0.04780463475099059,0.0008330997079610825,107.64066229993477,107.64066229993477,107.94094679970294,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,41,40,down,0.01,db,0.047749629301071704,0.0008176001720130444,110.024269499816,110.024269499816,110.32415619958192,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,42,41,down,0.01,db,0.047694687142077155,0.0009180000051856041,112.32389479968697,112.32389479968697,112.6240620999597,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,43,42,down,0.01,db,0.0476398082011825,0.0009364001452922821,114.62418609997258,114.62418609997258,,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,44,43,down,0.01,db,0.047584992405647085,0.0008151000365614891,116.90744779957458,116.90744779957458,117.20727179991081,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,45,44,down,0.01,db,0.04753023968281397,0.0008412003517150879,119.22414209973067,119.22414209973067,119.5245147999376,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,46,45,down,0.01,db,0.0474755499601098,0.0008352999575436115,121.55723829986528,121.55723829986528,121.85722259990871,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,47,46,down,0.01,db,0.047420923165044745,0.0009439000859856606,123.87410029955208,123.87410029955208,124.1743506998755,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,48,47,down,0.01,db,0.04736635922521236,0.0008257003501057625,126.17389829969034,126.17389829969034,,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,49,48,down,0.01,db,0.04731185806828953,0.0008105998858809471,128.45721669960767,128.45721669960767,128.75723919970915,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
